Stránka,Sekce,Element,Starý text,Nový text,Typ změny
,,,,,
Homepage,Hero,Hlavní nadpis,Navraťte vlasům přirozenou vitalitu,Navraťte vlasům přirozenou barvu i sílu,text
Homepage,Hero,Podnadpis,"Dva přípravky, jedna revoluce. NoGray's pro muže i ženy šetrně obnovuje přirozenou barvu vlasů, redukuje mastnotu a předchází tvorbě lupů. Výsledky jsou viditelné již za 7 dní.","Nogray's® pro muže i ženy přirozeně obnovuje barvu vlasů (i vousů), pomáhá předcházet tvorbě lupů. První změny uvidíte zhruba po 2 týdnech pravidelného používání.",text
Homepage,Intro,Text,"Náš inovativní přípravek přináší revoluci v péči o vlasy. Vyvinuli jsme účinnou formuli, která aktivuje přirozené pigmentační procesy vlasů či vousů a navrací jim původní barvu. Šetrné složení zaručuje bezpečné a postupné výsledky.","Nogray's® je enzymatické tonikum, které aktivuje přirozenou tvorbu pigmentu v celé struktuře vlasu a postupně vrací vlasům i vousům jejich původní barvu. Působí zevnitř, bez barvení a bez zbytečné chemie, takže výsledky jsou přirozené a nenápadné.",text
Homepage,Benefity,Benefit 1 – nadpis,Přirozená obnova,Pro koho?,text
Homepage,Benefity,Benefit 1 – text,Aktivuje tvorbu melaninu přímo ve vlasových koříncích. Díky enzymatickému složení probíhá obnova barvy postupně a zevnitř.,"Pro ni i pro něho. Bez zbytečné chemie. Jednoduchá a rychlá aplikace, nenápadné a funkční řešení šedin. Pro všechny, kdo se chtějí cítit přirozeně.",text
Homepage,Benefity,Benefit 2 – nadpis,Šetrné složení,Snadné použití,text
Homepage,Benefity,Benefit 2 – text,"Tonikum je pro všechny typy vlasů včetně citlivé pokožky. Na rozdíl od řady jiných přípravků neobsahuje látky jako je olovo, parabeny či umělá barviva.",Zabere to 3 minuty denně a výsledky je snadné udržet dlouhodobě. Aplikujte 1x denně (ráno) podle návodu.,text
Homepage,Benefity,Benefit 3 – nadpis,Snadné použití,"Žádná barva, přirozenost",text
Homepage,Benefity,Benefit 3 – text,Praktický aplikátor umožňuje přesné dávkování ke kořínkům. Doporučujeme ranní aplikaci a večerní mytí vlasů,"Věříme, že nejlépe se cítíme, když jsme přirození. To je náš přístup. Nechceme nabarvené vlasy. Chceme přirozený vzhled bez šedin.",text
Homepage,Benefity,Benefit 4 – nadpis,Viditelné výsledky,,text – beze změny
Homepage,Benefity,Benefit 4 – text,První změny pozorujete již po 5–7 dnech používání. Pro dlouhodobý efekt stačí později aplikovat 1–2× týdně,"První změny obvykle uvidíte zhruba do 14 dnů pravidelného používání, výraznější návrat barvy pak mezi 3.-5. týdnem. Pro dlouhodobý efekt stačí používat 1x denně.",text
Homepage,Nová sekce – produkt,Nadpis,Jak správně aplikovat přípravek pro dosažení přirozené barvy vlasů,"Nogray's® prémiové, koncentrované a šetrné tonikum proti šedinám",nová sekce
Homepage,Nová sekce – produkt,Podnadpis,Příprava a první aplikace,"Neobarvuje, nepřekrývá — skutečně pomáhá.",nová sekce
Homepage,Nová sekce – produkt,Text,Před použitím přípravek důkladně protřepejte. Aplikujte na suché nebo mírně vlhké vlasy pomocí aplikátoru - stačí 6-8 stisknutí pro optimální pokrytí celé hlavy.,Naše enzymatické tonikum podporuje přirozenou tvorbu melaninu a probarvuje již vyrostlé vlasy přímo v celé jejich struktuře. Vlasy tak postupně znovu získávají svou vlastní barvu zevnitř. Bez barvení. Bez odrostů. Přirozeně.,nová sekce
Homepage,Nová sekce – produkt,Podnadpis,Správná technika nanášení,"Přirozený vzhled, postupné výsledky",nová sekce
Homepage,Nová sekce – produkt,Text,"Jemně vmasírujte přípravek do pokožky hlavy, aby se účinné látky dostaly přímo ke kořínkům vlasů. Dbejte na rovnoměrné rozetření po celé ploše.","nograys nefunguje přes noc — a to je přesně to, co na něm oceníte. Žádný šok v zrcadle, žádné „Ty se barvíš? Barva se vrací pomalu a přirozeně, týden po týdnu, jako by to tak vždycky bylo. Vaše vlasy vypadají jako vaše vlasy — jen o pár let mladší.""",nová sekce
Homepage,Nová sekce – produkt,Podnadpis,Doba působení,"Benefity navíc, které potěší",nová sekce
Homepage,Nová sekce – produkt,Text,Po aplikaci nechte přípravek působit minimálně 6 hodin. Během této doby vlasy nemyjte. Doporučujeme ranní aplikaci a večerní mytí vlasů běžným šamponem.,"Naše tonikum vzniklo pro šediny — ale stříbro v jeho složení toho umí víc. Účinně redukuje tvorbu lupů, je šetrné a vlasy po použití nemastí.",nová sekce
Homepage,Nová sekce – produkt,Podnadpis,Pravidelnost používání,Jsme česká značka,nová sekce
Homepage,Nová sekce – produkt,Text,"První dva týdny aplikujte přípravek každý den pro nastartování procesu obnovy barvy. Poté stačí udržovací aplikace 3-4 × týdně pro zachování dosaženého výsledku. V případě vousů, z důvodu jejich rychlejšího růstu, doporučujeme aplikovat 1–2 × denně.","Jsme česká značka, která na náš trh přináší něco, co nám tu samotným chybělo — řešení na šediny, které je jednoduché, funkční, šetrné, bez zbytečné chemie a dlouhodobě udržitelné.",
Homepage,Testimonialy,Jméno + doba (1. slider),(není),DOPLNIT,nový obsah – přidat k slideru
Homepage,Testimonialy,Citát (1. slider),(není),DOPLNIT,nový obsah – přidat k slideru
Homepage,Testimonialy,Jméno + doba (2. slider),(není),DOPLNIT,nový obsah – přidat k slideru
Homepage,Testimonialy,Citát (2. slider),(není),DOPLNIT,nový obsah – přidat k slideru
Homepage,Produktové karty,Pro muže – text,(není),Získejte zpět svou přirozenou barvu vlasů. A dejte sbohem šedinám. Bez barvení. Bez povšimnutí. Jednoduše.,nový obsah
Homepage,Produktové karty,Pro ženy – text,(není),Získejte zpět svou opravdovou barvu vlasů. Žádný salon. Žádné odrosty. Žádné barvení. Jednoduše.,nový obsah
,,,,,
Pro muže,Doprava,Umístění,(accordion),(přesunout pod Při nákupu 2 a více kusů doprava zdarma. – viditelné bez kliknutí),layout – vytáhnout z accordionu
Pro muže,Jak tonikum používat,Nadpis,Jak přípravek užívat?,Jak tonikum používat?,text – nadpis je hardcoded v accordion.php
Pro muže,Testimonialy,Jméno + doba,,DOPLNIT,
Pro muže,Testimonialy,Citát,(není),"„Nevěřil jsem tomu, ale už mám doma 3. tonikum. Miluju to.",nový obsah – přidat k slideru
Pro muže,Porovnání,Nadpis,(není),"Věříme, že nejlepší je přirozenost",nová sekce
Pro muže,Porovnání,Text,(není),"Klasická barva zakryje vlasy tvrdou, jednolitou vrstvou, která často působí jako nepřirozená helma. My věříme, že nejlépe vypadáte, když jste to vy. Naše tonikum postupně vrací vlasům váš vlastní pigment. Výsledek proto zůstává 100% autentický, včetně drobných přirozených nerovnoměrností a stínů, které vaše vlasy měly už dříve. Cílem není dokonalost z katalogu, ale váš skutečný, o pár let mladší vzhled.",nová sekce
Pro muže,Porovnání,FOTKA,(není),DOPLNIT,
